Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
0900fa96-5ba1-433d-8321-a66f62c4785a,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Newborn 0-<3mo,0,25,30,57,66,99,$patient.getAgeInMonths() < 3
c45a5739-7f50-4a22-83b7-98dbedd25199,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Infant 3-<6mo,0,24,33,55,64,99,$patient.getAgeInMonths() >= 3 && $patient.getAgeInMonths() < 6
9662591e-bce9-4c44-b8b4-74e37151a110,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Infant 6-<9mo,0,23,31,52,61,99,$patient.getAgeInMonths() >= 6 && $patient.getAgeInMonths() < 9
97cc9569-999e-47b1-b666-a627c9a88a71,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Infant 9-<12mo,0,22,30,50,58,99,$patient.getAgeInMonths() >= 9 && $patient.getAgeInMonths() < 12
7a2a2c8a-a32f-4f32-915f-ff6ca95ac1ce,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Toddler 12mo-<18mo,0,21,28,46,53,99,$patient.getAgeInMonths() >= 12 && $patient.getAgeInMonths() < 18
797f1119-b2e9-409e-b93c-9a12c065d719,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Toddler 18mo-<2yrs,0,19,25,40,46,99,$patient.getAgeInMonths() >= 18 && $patient.getAge() < 2
f586ceab-5eb7-437c-a3b1-11b853aa3548,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Toddler 2-<3yrs,0,18,22,34,38,99,$patient.getAge() >= 2 && $patient.getAge() < 3
52655b16-b146-49cf-829e-66b4dfb01b46,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Preschool 3-<4yrs,0,17,21,29,33,99,$patient.getAge() >= 3 && $patient.getAge() < 4
1040a4bb-0477-4c83-8501-03ca00935c47,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Preschool 4-<6yrs,0,17,20,27,29,99,$patient.getAge() >= 4 && $patient.getAge() < 6
f4c2266a-9d1e-4a66-88ad-d1a4341edfde,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate School-age 6-<8yrs,0,16,18,24,27,99,$patient.getAge() >= 6 && $patient.getAge() < 8
1507f748-b69a-4999-83e9-3ce934916036,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate School-age 8-<12,0,14,16,22,25,99,$patient.getAge() >= 8 && $patient.getAge() < 12
b181ff1c-97a8-46fc-a1c0-be2fddad6177,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Adolescent 12-<15,0,12,15,21,23,99,$patient.getAge() >= 12 && $patient.getAge() < 15
9e775795-d0b0-40f0-b299-fa8628b15727,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Adolescent 15-18,0,11,13,19,22,99,$patient.getAge() >= 15 && $patient.getAge() < 18
ed481c0c-9cd8-426a-899a-17735ae505a4,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Resp Rate Adult,0,10,12,18,24,99,$patient.getAge() >= 18
e2f1a2ea-5609-4a32-8f35-a11d2c7f3cea,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic Newborn,0,35,60,90,,250,$patient.getAgeInMonths() < 1
5198bf3a-f3c9-4d8a-9e57-211e27c1c656,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic Infant,0,40,70,105,,250,$patient.getAgeInMonths() >= 1 && $patient.getAgeInMonths() < 12
2d9e411e-3a27-4dc4-a448-31e6f49bb813,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic Toddler,0,50,86,107,,250,$patient.getAge() >= 1 && $patient.getAge() < 3
78af055a-9338-4f87-8c74-0ac7f37b537e,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic Preschool,0,50,90,110,,250,$patient.getAge() >= 3 && $patient.getAge() < 6
9b499848-1e9f-4288-b913-4a94ad09e465,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic School-age,0,55,90,120,,250,$patient.getAge() >= 6 && $patient.getAge() < 13
a8761839-4d27-41f2-8015-31fd7fd68366,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic Adolescent,0,60,102,120,,250,$patient.getAge() >= 13 && $patient.getAge() < 19
3d373e4c-5ec1-46b8-b230-d5dece83a799,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Systolic Adult,0,90,100,120,180,250,$patient.getAge() >= 19
9d206eeb-4c24-4e59-a97e-3347c7f5be8e,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic Newborn,0,15,20,60,,150,$patient.getAgeInMonths() < 1
41a38b5c-cddd-4683-8654-abee452a7ef6,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic Infant,0,20,41,65,,150,$patient.getAgeInMonths() >= 1 && $patient.getAgeInMonths() < 12
f2b99624-50c9-4035-a18e-f5b1ca8a55a3,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic Toddler,0,30,41,78,,150,$patient.getAge() >= 1 && $patient.getAge() < 3
d9cb813f-86a6-4985-a86f-dcb63cab998e,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic Preschool,0,30,47,75,,150,$patient.getAge() >= 3 && $patient.getAge() < 6
0c14b569-3820-4ea4-9871-4a8ec0ef09d9,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic School-age,0,35,59,80,,150,$patient.getAge() >= 6 && $patient.getAge() < 13
d3ae4776-018b-45ef-96dc-0e460329eeac,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic Adolescent,0,30,64,80,,150,$patient.getAge() >= 13 && $patient.getAge() < 19
352106b0-400f-4125-bb4d-1c32e52342ef,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BP Diastolic Adult,0,50,60,80,110,150,$patient.getAge() >= 19
7d60df7c-7468-48cf-af44-783bafbefc32,5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SpO2,0,89,92,,,100,$patient.getAge() >= 0
c796a038-c309-4142-bf70-655c51d4121b,5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Temp Celcius <3mos,25,35,36,37.7,38.1,47,$patient.getAgeInMonths() < 3
13a9cfe1-b3ea-49d0-b97a-db99d9cbcb80,5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Temp Celcius >3mos,25,35,36,37.7,38,47,$patient.getAgeInMonths() >= 3
